id,totalMinedBlocks,totalRewards
qzm1Z8QJFoJxnmAapezaqjqkV4CH41RGBv4EbNSuENaeozCX9,611,5960114356221999
qznx1bjDQgdXkz8YLNx5MyvpeiQFZPbHHn71fq4WsJ5MAjxTV,609,5930090591620912
qzpWDnCsmeyKwrTqZra75CcS7YByaXXtmoLrZJNcsMKJbQhSh,578,5540268365208823
qzo8YG85VgfweuQMEsJrSLNCo55ogqTKX1MtcyYJ2gi5cXQxf,565,5446101667173494
qzpyuWuMJ7c4qcFBedQj3kXvuPbbPJ6qSNognPrnrr1vFs8WT,549,5180373978906189
qzoSb6NaAZBT89u6RGN4uzm5y5hJqo6ggc3wbWrF2zQCafjhc,542,5210214012256519
qzq2aKiqcBm2YRKhdVfeNu44j7TV2mbWw5NudAE971WJGEmqg,539,5160245346757153
qzomoDa4mmawDUuGt89iV9M1m1Tsma4aVEfQ1FQ3zLNFsxrLS,534,5110236014007447
qzpDo3FRVpdK1chHgLBpHceinmeNySRfHxRzbNnRfBmxcop8v,525,5020237048647289
qzo5UDS3o2XuQiV1KoGJhYteanMAtLS1mkh2KXSdpyncumazL,521,5000224637401835
qzoxZo4xxcn9FjbL57Ha9tk5PQd6PheLM66gUABa2eb8Pp8qD,520,4930289601871882
qzkdbhMKkVm3uKXwW8Z4mnKggDddhXvVCt2XueV5BytqhA2QV,512,5080042669001236
qzmrbWbyEuFi7oc8P7ZQby4imxdn5rpQr2256tD352yDM5Sim,500,4860181999957574
qznJY8Hx5mXMweeBxZaLs5HouwViviVDg2iBxecDzfosuy6LC,495,4790181583223449
qzosgeCQ3gjB9WLmKRSx4Pj9NF6YZw68c2fhzYU898ro2pMkW,482,4600235304652146
qzkBpmFyDU3MkAv1bTg9VB5M9mg33Vw8MDGAeZdrjWvWvt6BV,476,4510288922976862
qzkgu6putwW9RkVGAxaTmjGez721MpPdnn9dXHvVHYhrnAy6a,453,4470054137648917
qzpGY5qfaS1tFfbUxmybS9ecSikR6rPhn81dgYUfheocjXwJi,436,4140245346757151
qzkxen9n28qjMjujX2SEEVphQ2UdPzrHqYjDkHeVvdtPLjEgP,435,4280044639108153
qzmheMGf8A1F37WudRkuqDZBQ4q5XWaaqS9jzucJh8LczuqAp,409,3820279536628932
qzo2VufVhC6bJwdg2XYkUD2DQqjzQew2m3giz7jJMtxv5SYwS,392,3760160633899969
qzpoTFEvSgUwYpR3ePQz5K4rDwmTE46XoCDd1xefSfakZhMYd,390,3900000000000000
qzkXTv6v185mvpW7ioXpy3jkJqLS8AMqNdJxqkJid7MGATz3U,384,3820021334500622
qznE4LfStdckoGKE3E94kmzNAjkLy28SuNJCfGchy3oo8ZM2X,366,3460215112139305
qzqE22pZ2GSJpMmAr7uezPcb62ZmKd8RR846q6S3jaFQcM6V2,366,3490192677755881
qzmdKHkqRpus2WMDx8KraGwQpKdEHcjBxnKhFptzLdCSFMWao,363,3550076005252768
qzk7gD4DatoxhdPeU82EvAEmeyv92Kfna4oxaKxp3q57iN1nZ,358,3560021334500622
qzmwniuZJ8paNbQ2XTGAnCHv7KqqZaBZ81CRqKembsYdqQsBn,351,3282400798568676
qzov7trcVu8mAF32dJmdWBhCg1JjFiSSCQUbsYRkjRq6pXiPc,344,3330098697543423
qzpFoSokNpM2BKDanS636PWDu9WJBsTsuK7yctpKiZ9m8C58y,344,3370076016897484
qzkWs5u6F1Qgf885UB8sREoobtsqq9rzCocnNGDBnTQRSDx7Z,336,3260046619763062
qznrDYi7T1BmnW5jPA6VqQhLEDwLZrhv1vssfdPA4tNKS29Lr,321,3000224433244292
qzmzEaD7TBYhrQFgMNdqBgkm588p6fkb1deXUGhqy6r1BjRFe,320,3090117339753421
qzoippr2KfV49MzLJgp9ea4GaPdXdNtshWhyhStm7ptTKDWwe,318,3030160676004963
qzowjRbNQaU1QfhGWsworhQNdi6zEuxFiNQrDfp9ufanXLPfL,312,2920225358401852
qznLHZWWGsHqPCKWWi8jTKM7HxkEaxfmKqJVdTC4mkrQZxZGs,306,3000064003501854
qzo3MQuQtoueVnz57EHMyujwaSM2LB1PfSUos1w9pX2LUH76o,305,3050000000000000
qzmDVGDm9sXz6VnWP4GvhbPdAyWBGKPxSG5DigEwM8Q4KwZbJ,305,3000043336251546
qzkE8fGYRYYLqt2bgHW3gUsdLc4GtanMHtEsEskQNEyaBcqpf,299,2880117339753421
qzn87mjedhZrBtpadPXZGLfhBkhjda1AhqqjzVKsx4bUG93Ym,297,2820192431493361
qznHMb8wtT7r5HBTjgCECLCgJPYsnCB9t7BxKivZEgFq6Swkt,295,2860106672503094
