resonance_network,schrodinger,dirac,planck,totalMinedBlocks,totalRewards
,,qznWLG11DULsQFjo1bvH57RpambhRcS6tFG6DspX4GkvWH8y2,,2860,26932188132458687
,,qznBrw539t2GXwuoN6hqniNy378Uhoxod1dn247B1bu3qSMwL,,2841,26792113520655213
,,,qzpWaNzLvKGa28HUT4WZfRZ9mR3CmzGeKTLZWUAaGY2hZ5N4h,2789,1068637685863408
,,qzjjSUA6ByxufGRHm5hKSoaz9gGdhBZkVB6QF57nHvQhXfQVS,,2759,26641615061893618
,qzn2fVfnQsb5TX1uQhfK1c1d6E6bR3BoHuynXADGi6KeGCkiM,,,2758,27530044015146557
,,qzjd3JcWomUPHNLZ3wev3u1qdaJWFngpq8q1uz7tYv2Rvk2MJ,,2723,26051277636445066
,,qzpBwzzKoLUJLC4DRN3yFu3yChg973ZXzG3BGdD8RQUhgXqiU,,2699,25964089620364110
,,qzkHXEf1jYEceSyQYEcx5AsPpeySzME791wW6w3SXhwDFooSZ,,2696,26051289713026166
,,qzkXpTw5oLkeBwn9SzUbu3jug6VJ5oD4QeRaoqet98eJxPxVi,,2616,25510514787518838
,,,qzmzKoUTJeRRrHc1YheH289k96wR66Xyo6scgiJMwuk6GqcuB,2570,1010862712964546
,qzocKmN2SvGyw1pmCwtnTSncfBkevxFfghqPsn9k6gzzQtVCV,,,2527,25180086727147767
,,qzk8e8TrLh4pZHYBad76BWcZxDmhDgvH8EHsFskCiE56HGQ4n,,2505,23991178176824570
,,qzobD8H4SacS1ueFA5h1TvupB9MbArDjk4q1ENtWn34y1s5rm,,2467,23721047578651324
,,qznXCP2sU8gcKa74XTD1UsiqW8UWBoAH18KH8p5w1sUPD57G4,,2388,22861110680133561
,,,qzkES36rs5AJSgo9cVuYhqeDXPZrYwtVyP1QVfZCVNhVBvLuq,2346,905127182548260
,qzpLQViE39bzEfnhuYdx5zUvgY4RJEmcdzTTrVmaovNQA9KrX,,,2296,22900064003501854
,,,qznaH1f7pzGjRLo3GVwJdvtxJibUfHStGYcvEao3hYCy8CtTY,2292,867302277754749
,,qzoUyJBrQvAEL3yFpmDEJA4jLyYpMGrNjX28qmZ7Cvmt9TqjT,,2231,21750592114703536
,,qzknsLGszSZUa5NnkLzymGm6u4iQ9DDQbBUYuVgLixEwzB9g5,,2180,21190694717415536
,,qzmZ7Gpbtu2z4J55AnjqKZCfNfbuoWUmGCANsrRPZgFgb21Ya,,2150,20401167527513357
,,,qzmyJZ6rpZ7ia27SPMKJkBBZsSxvtbwNDkYVcCfNE7W5bSqCJ,2134,805662823492341
,,qznGci976xEyHroGWm6fCAEm9AUEq38AMDu8zYohcxmU2QUsS,,2109,20360812057168958
,,qzo7pUCHfcEhxUuxuafcixv7WU8WvBAMRjR1uCfhym4DHFe6Q,,1981,18950975342282526
,,,qzmDt1Nwq2L776DPH2czsfSpTvGZzGoTtsT5Xec1Lvt4U1uyL,1936,747568252484612
,,,qznGJeNb8SmTKc8j4MveHRUDzFbxzJfpbwA1xXbVu88gQ81cG,1921,775849706012877
qzkKG6BoZdXG4MYTVEmjAumrSoja2MZ6gFNm9C9e354wmtEsh,,,,1902,18940011794152407
,,qzkFwmNAVrRKsZ7277jVfUDH4SLy8c88u4pmggc7Wwn2jdsRw,,1793,17400579870994061
,,,qznJU9ha9Pr71KZuocLfQTg85XmTLV9B4ookUdwumHH8Sx2Bw,1793,695296774916488
,,qzk3KyUyvVHXv4K26j2ePTZhr8qgRYqpL5RasN5xELYutRrys,,1790,17050909150659816
,,,qzmX7W95uX4LS1Eoe7qJ2ffpvXt9zyeuBDDDAxELJrnJ5LAAh,1736,663451660241403
,qzovQrRgRg29FYyh6aCjK1cHgjxiSQMwED6RjyLcHXnoHC45E,qzovQrRgRg29FYyh6aCjK1cHgjxiSQMwED6RjyLcHXnoHC45E,,1665,16540128007003708
,,,qzkhJXmG9MaC5aF3A7WF2hr8hLzCjyqAYYUwvUWXzKuaXXSSv,1651,626901191481491
,qzkDSKxYbjpY51FjEkAFMbzpsm8THhnCXLubiKTdx3RfNYcGW,,,1647,16200288015758330
,qzp9MgRYKtW3FEioPbmYb7D4D44R2AdqjQcU5kCCBGyREFfKw,,,1623,16210021334500618
,qzjTMPKfiHxHepHUJgHpxxS61fULxTypp6ZruAMrd4jMVhugC,,,1617,15930246692902418
,qzpp6Qze6kmfVHTECrcF3uBsdd6yKrTyf9fUe2xKUCxYYngdB,,,1611,16030076016897484
,,,qznjVeZD28Z3Vo8dkb2o95si7pEgQ6PgdjczmiWZHHSk7zQZv,1577,588109025902047
qzngmjcJaBFwWQQEHCZP5VUudKGmSS89tXX5WGHK9cGoTZYhA,,,,1574,15680018705659860
,,qzjeLJHgufAz3UvAAkN7mtqgesUdwSP4sBdBJYfuFa2wu4Y9j,,1573,15220664050165143
,qznkYEdGrwLHWtyPFxSFjgzSBCSDiEwWYA4viEf59u1EcAKyc,,,1568,15660021334500618
qzjcfckdrUxQPjR91qEwYgEzu7rYDcfQTXy8gyddAoPnQqs4g,,,,1545,15380010508724121
,qzkr2yeiTZsfbtwMaAx3wyPZtDhLo6TtZhGETynbsMQTP38VY,,,1522,15210010667250309
,,,qzppKy8m9ETWMV8TUWmE3P5AuFTxka3ocKZ2wdg4whgHHigP5,1482,572605441221303
,,qzp46dLKdevu6Cn9jzvBSPivSZqTECwFohfx9xr2u86Rhbf9A,,1445,14250186048941502
,,,qzoFgxG8X5CvDFeZva9CtxYG3xqufvhojzJQvCymHGbxjop5P,1405,535924366032179
qzm99pG17NMSEF81Vmbt7dohv4rECY2cuNA6sJYhgQ24V6pGk,,,,1399,13970003002590605
,,qzp7UiUh343dPDjsqQ4ki6gYyRtJw2gL7mLYkkmqsXsDkwZSv,,1354,12970725373021012
,,qzpHJECPLDqWc1NHL6ySN7Ts8q7kJXiJGXGRYTHX7egTVkxX6,,1347,12551258735536490
,,qzkMW1vkVWCKPaGoNoG1xi4zk9y8mE1rftV5wr4ajoegf6w92,,1342,13130229976413970
,,qzjVVTwX6xi8Z7x5qRAidYkxisfjiLuZZUo5VvzUsSYzCH5Pj,,1330,12680846837210378
qzkiLYEGwcobt6ogFEzi3stiSGy16KUPEwTbRLxL4AWr4oZvN,,,,1310,13040008835864836
,,qznDuX3cD7T4fj2rFfZCXRpGna29B1ytuHfbWSkLzBGr9tujG,,1309,12580756370507099
,,qzpAMvnKaMBrUQMpdkX4JsQFS1peJkSnASvY1yw7CY1uyZod4,,1295,12680240719693657
,,qzqBsCm7DVSVW7NUqtk2yJT2SoC2jmroFQ9keHTvRrpQHLRaZ,,1285,12510460080908668
,,qzmJbB2PtT6Yn2csnweiHgP5AuYWqHpjSWqYuw5hjvu6V6Ewu,,1283,12360620332405246
,qzmbGP4bHDVZtPj5v6kYE9EJBxtZZ62edFz7bQKw7ZESxzaqp,,,1267,12630042669001236
,,qzq43L99r93FuamJkKTqqg1pWu1xmRB41GSW3ZEhGo6aCMLxP,,1265,12330374699906136
,,qznuEeDCfp9wWScQtho9Lp5UVnRoNC1WCCJugtBxBrvJbDSUQ,,1259,12130504041410449
